匂,にお∙う fragrant
鼾,いびき/カン snoring
職,ショク post
講,コウ lecture
瘦,やせ∙る/ソウ thin
圏,かこ∙い/ケン sphere
礎,いしずえ/ソ cornerstone
腿,もも/タイ thigh
桜,さくら/オウ cherry
諒,あきら∙か/リョウ fact
雲,くも/ウン cloud
鼓,つづみ/コ drum
委,ゆだ∙ねる/イ committee
槇,まき/テン twig
榊,さかき sacred Shinto tree
儀,ギ ceremony
式,シキ style
漂,ただよ∙う/ヒョウ drift
鹿,しか/ロク deer
貯,た∙める/チョ savings
朽,く∙ちる/キュウ decay
軟,やわ∙らか/ナン soft
宴,うたげ/エン banquet
需,ジュ demand
萠,も∙える/ホウ show symptoms of
筵,むしろ/エン straw mat
樋,ひ/トウ water pipe
副,フク vice-
磔,さ∙く/タク crucifixion
潔,いさぎよ∙い/ケツ undefiled
拒,こば∙む/キョ repel
荻,おぎ/テキ reed
九,ここの/キュウ nine
食,く∙う/ショク eat
昔,むかし/セキ once upon a time
鼻,はな/ビ nose
完,カン perfect
峻,けわ∙しい/シュン high
取,と∙る/シュ take
祈,いのる/キ 
誼,よしみ/ギ friendship
縞,しま/コウ stripe
頃,ころ/ケイ time
性,さが/セイ sex
瞰,み∙る/カン look
衷,チュウ inmost
泡,あわ/ホウ bubbles
作,つく∙る/サク make
超,こ∙える/チョウ transcend
殉,ジュン martyrdom
牒,ふだ/チョウ label
琲,つらぬく/ハイ string of many pearls
邁,ゆ∙く/マイ go
漑,そそ∙ぐ/ガイ pour
橘,たちばな/キツ mandarin orange
寄,よ∙る/キ draw near
戟,ほこ/ゲキ halbert
岡,おか/コウ mount
抜,ぬ∙く/バツ slip out
特,トク special
層,ソウ 
棒,ボウ rod
蛭,ひる/シツ leech
処,ところ/ショ dispose
困,こま∙る/コン quandary
萱,かや/ケン miscanthus reed
評,ヒョウ evaluate
薪,たきぎ/シン fuel
藉,かり∙る/シャ carpet
采,と∙る/サイ dice
桶,おけ/ヨウ tub
彼,かれ/ヒ he
疫,エキ epidemic
黴,かび/バイ mold
帰,かえ∙る/キ homecoming
華,はな/カ splendor
薩,サツ Buddha
梅,うめ/バイ plum
貧,まず∙しい/ヒン poverty
愕,おどろ∙く/ガク surprised
凧,いかのぼり kite
温,あたた∙か/オン warm
孃,むすめ/ジョウ girl
郵,ユウ mail
淫,ひた∙す/イン lewdness
虚,むな∙しい/キョ void
肴,さかな/コウ accompaniment for drinks
是,これ/ゼ just so
犧,いけにえ/ギ sacrifice
珍,めずら∙しい/チン rare
篠,しの/ゾウ bamboo grass
魂,たましい/コン soul
倭,したが∙う/ワ Yamato
棄,す∙てる/キ abandon
徊,さまよ∙う/カイ wandering
侠,きゃん/キョウ tomboy
応,あた∙る/オウ apply
耕,たがや∙す/コウ till
勸,すす∙める/カン persuade
鱧,はも/レイ conger
烙,や∙く/ラク burn
襖,ふすま/オウ opaque sliding door
楚,いばら/ソ whip
傘,かさ/サン umbrella
廳,やくしょ/チョウ hall
隆,リュウ hump
渴,かわく/カツ thirsty
浸,ひた∙す/シン immersed
茫,とお∙い/ボウ wide
江,え/コウ creek
祟,たた∙る/スイ curse
蓉,ヨウ lotus
觸,ふ∙れる/ショク touch
